"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"211","Sc_g00195: NAD(P)-binding Rossmann-fold superfamily protein","Sc_g00195","vacuolar membrane, endoplasmic reticulum, plasma membrane, integral component of membrane"," farnesol dehydrogenase activity, coenzyme binding"," negative regulation of abscisic acid-activated signaling pathway, farnesol metabolic process, oxidation-reduction process",594
"212","Sc_g00196: PI-PLC X-box domain-containing protein DDB_G0293730-like","Sc_g00196",""," phosphoric diester hydrolase activity","lipid metabolic process",969
"213","Sc_g00197: wall-associated receptor kinase-like 14","Sc_g00197","","protein kinase activity, ATP binding"," protein phosphorylation",1596
"214","Sc_g00198: hypothetical protein PHYPA_029293","Sc_g00198","membrane, integral component of membrane","","",3340
"215","Sc_g00199: hypothetical protein PHYPA_002362","Sc_g00199","","","",954
"216","Sc_g00200: hypothetical protein PHYPA_010742, partial","Sc_g00200","","","",930
"217","Sc_g00201: presequence protease 1, chloroplastic/mitochondrial-like","Sc_g00201",""," peptidase activity, metal ion binding","proteolysis",3940
"218","Sc_g00202: putative RNA-directed DNA polymerase, eukaryota, Reverse transcriptase zinc-binding domain protein","Sc_g00202","","RNA-directed DNA polymerase activity, 4 iron, 4 sulfur cluster binding"," RNA-dependent DNA biosynthetic process",348
"219","Sc_g00203: hypothetical protein AXG93_2396s1020","Sc_g00203","","","",1608
"220","Sc_g00204: PHD finger-like domain-containing protein 5B","Sc_g00204"," U2 snRNP, U12-type spliceosomal complex"," isomerase activity","mRNA splicing, via spliceosome",333
"221","Sc_g00205: 30S ribosomal protein 3-1, chloroplastic-like","Sc_g00205"," ribosome, chloroplast thylakoid membrane, chloroplast stroma","structural constituent of ribosome"," plastid translation",794
"222","Sc_g00206: GDP-mannose 4,6 dehydratase 1","Sc_g00206","cytoplasm"," GDP-mannose 4,6-dehydratase activity"," GDP-mannose metabolic process, 'de novo' GDP-L-fucose biosynthetic process",1653
"223","Sc_g00206: GDP-mannose 4,6 dehydratase 1","Sc_g00206","cytoplasm"," GDP-mannose 4,6-dehydratase activity"," GDP-mannose metabolic process, 'de novo' GDP-L-fucose biosynthetic process",1650
"224","Sc_g00206: GDP-mannose 4,6 dehydratase 1","Sc_g00206","cytoplasm"," GDP-mannose 4,6-dehydratase activity"," GDP-mannose metabolic process, 'de novo' GDP-L-fucose biosynthetic process",1991
"225","Sc_g00207: F-box protein At4g00755-like","Sc_g00207","","","",618
"226","Sc_g00208: Translocation protein Sec62","Sc_g00208"," integral component of endoplasmic reticulum membrane","","protein transport",1538
"227","Sc_g00209: ras-related protein RABC1-like","Sc_g00209"," Golgi apparatus","GTPase activity, GTP binding"," intracellular protein transport, Rab protein signal transduction",636
"228","Sc_g00210: phytochrome","Sc_g00210"," intracellular","phosphorelay sensor kinase activity, photoreceptor activity, protein homodimerization activity"," phosphorelay signal transduction system, regulation of transcription, DNA-templated, detection of visible light, red, far-red light phototransduction, protein-tetrapyrrole linkage, protein-chromophore linkage, signal transduction by protein phosphorylation",3419
"229","Sc_g00211: DExH-box ATP-dependent RNA helicase DExH12-like","Sc_g00211"," U5 snRNP, U4/U6 x U5 tri-snRNP complex, catalytic step 2 spliceosome, post-mRNA release spliceosomal complex"," nucleic acid binding, ATP-dependent RNA helicase activity, ATP binding","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)",5995
"230","Sc_g00212: steroid 5-alpha-reductase DET2","Sc_g00212"," cytoplasm, integral component of membrane","3-oxo-5-alpha-steroid 4-dehydrogenase activity, sterol 5-alpha reductase activity, progesterone 5-alpha-reductase activity"," brassinosteroid homeostasis, brassinosteroid biosynthetic process, oxidation-reduction process",1093
"231","Sc_g00213: DCN1-like protein 3 isoform X1","Sc_g00213","","protein binding"," regulation of cellular process",966
"232","Sc_g00214: protein CHROMATIN REMODELING 19-like","Sc_g00214","","ATP binding"," cellular response to stimulus",4015
"233","Sc_g00215: trihelix transcription factor ASIL2-like","Sc_g00215","","DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",2047
"234","Sc_g00216: ---NA---","Sc_g00216","","","",186
"235","Sc_g00217: histone-lysine N-methyltransferase 2D-like isoform X1","Sc_g00217","","transcription coregulator activity"," regulation of transcription, DNA-templated",135
"236","Sc_g00218: histone-lysine N-methyltransferase TRX1-like","Sc_g00218"," nucleus","protein binding, methyltransferase activity, metal ion binding"," methylation",2697
"237","Sc_g00219: ---NA---","Sc_g00219","","","",129
"238","Sc_g00220: hypothetical protein PHYPA_021203","Sc_g00220","membrane, integral component of membrane","","",1401
"239","Sc_g00221: e3 ubiquitin-protein ligase upl3","Sc_g00221","","ubiquitin-protein transferase activity, ligase activity"," protein ubiquitination",4308
"240","Sc_g00222: putative ER lumen protein-retaining receptor C28H8.4","Sc_g00222","endoplasmic reticulum, integral component of membrane"," ER retention sequence binding"," protein retention in ER lumen",1257
"241","Sc_g00223: amino acid transporter AVT6A-like","Sc_g00223","integral component of membrane","","",1332
"242","Sc_g00224: DNA mismatch repair protein PMS1 isoform X1","Sc_g00224"," mismatch repair complex","ATP binding, ATPase activity, mismatched DNA binding"," mismatch repair, DNA recombination, pollen development, fruit development, seed development",421
"243","Sc_g00225: exocyst complex component SEC5B-like","Sc_g00225","exocyst",""," Golgi to plasma membrane transport",918
"244","Sc_g00226: V-type proton ATPase subunit E-like","Sc_g00226"," proton-transporting two-sector ATPase complex, catalytic domain"," proton-transporting ATPase activity, rotational mechanism","ATP hydrolysis coupled proton transport",663
"245","Sc_g00227: hypothetical protein PHYPA_016582","Sc_g00227","","","",345
"246","Sc_g00228: protein NRT1/ PTR FAMILY 8.2-like","Sc_g00228","integral component of membrane"," transmembrane transporter activity"," transmembrane transport",1996
"247","Sc_g00229: lysine-specific demethylase JMJ25-like","Sc_g00229","","","",3414
"248","Sc_g00230: NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2-like","Sc_g00230","","","",592
"249","Sc_g00231: 4-hydroxy-tetrahydrodipicolinate synthase 2, chloroplastic","Sc_g00231","","4-hydroxy-tetrahydrodipicolinate synthase"," lysine biosynthetic process via diaminopimelate",872
"250","Sc_g00232: protein OSB1, mitochondrial-like","Sc_g00232"," mitochondrion, plasma membrane, nucleoid, integral component of membrane, mitochondrial nucleoid","DNA binding, single-stranded DNA binding, protein transporter activity"," DNA replication, mitochondrial DNA replication, protein secretion, protein transport, positive regulation of helicase activity",87
"251","Sc_g00233: plant cysteine oxidase 5 isoform X1","Sc_g00233","","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"," oxidation-reduction process",1218
"252","Sc_g00234: RING-H2 finger protein ATL29-like","Sc_g00234","membrane, integral component of membrane","","",3371
"253","Sc_g00235: succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","Sc_g00235"," mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone), plasma membrane succinate dehydrogenase complex","succinate dehydrogenase activity, electron transfer activity"," tricarboxylic acid cycle, mitochondrial electron transport, succinate to ubiquinone, anaerobic respiration",1398
"254","Sc_g00236: alpha-1,4 glucan phosphorylase L-2 isozyme, chloroplastic/amyloplastic","Sc_g00236"," chloroplast stroma"," glycogen phosphorylase activity, pyridoxal phosphate binding, linear malto-oligosaccharide phosphorylase activity, SHG alpha-glucan phosphorylase activity","glycogen catabolic process, response to temperature stimulus, response to water deprivation",3268
"255","Sc_g00237: nudC domain-containing protein 2-like","Sc_g00237","cytoplasm"," unfolded protein binding"," protein folding, developmental process",504
"256","Sc_g00238: putative zinc transporter At3g08650","Sc_g00238"," integral component of membrane","zinc ion transmembrane transporter activity"," zinc ion transmembrane transport",1179
"257","Sc_g00239: maltose excess protein 1-like, chloroplastic","Sc_g00239","chloroplast, plastid envelope, integral component of membrane","","",849
"258","Sc_g00240: ---NA---","Sc_g00240","","","",1504
"259","Sc_g00241: crossover junction endonuclease EME1B-like isoform X1","Sc_g00241"," nucleus, Holliday junction resolvase complex","DNA binding, nuclease activity"," DNA repair",2474
"260","Sc_g00242: DUF1218 domain-containing protein","Sc_g00242","membrane","","",1129
"261","Sc_g00243: uncharacterized protein At2g02148-like isoform X3","Sc_g00243","","","",2009
"262","Sc_g00243: uncharacterized protein At2g02148-like isoform X4","Sc_g00243","","","",1931
"263","Sc_g00244: probable ATP-dependent DNA helicase CHR12","Sc_g00244","","ATP binding, histone binding","",3159
"264","Sc_g00245: probable serine/threonine-protein kinase WNK9","Sc_g00245","","protein serine/threonine kinase activity, ATP binding"," protein phosphorylation",533
"265","Sc_g00246: sodium/pyruvate cotransporter BASS2, chloroplastic-like","Sc_g00246"," chloroplast thylakoid, chloroplast envelope, integral component of membrane"," symporter activity, pyruvate transmembrane transporter activity","plasma membrane pyruvate transport",726
"266","Sc_g00247: nicotinamide adenine dinucleotide transporter 1, chloroplastic-like isoform X2","Sc_g00247","mitochondrion, integral component of membrane, chloroplast membrane"," NAD transmembrane transporter activity"," NAD transmembrane transport",864
"267","Sc_g00248: ribosome-binding factor PSRP1, chloroplastic","Sc_g00248","chloroplast, cytosolic small ribosomal subunit"," ribosome binding, ribosomal small subunit binding"," negative regulation of translational elongation",795
"268","Sc_g00249: translation initiation factor IF3-1, mitochondrial-like","Sc_g00249","","translation initiation factor activity, ribosome binding"," translational initiation, ribosome disassembly",543
"269","Sc_g00250: 40S ribosomal protein S19-1-like","Sc_g00250"," cytosolic small ribosomal subunit"," structural constituent of ribosome","ribosomal small subunit assembly, translation",357
"270","Sc_g00251: probable apyrase 2","Sc_g00251","integral component of membrane"," hydrolase activity","",372
"271","Sc_g00252: predicted protein","Sc_g00252","","protein binding","",1313
"272","Sc_g00253: ethylene-insensitive protein 2","Sc_g00253"," membrane","manganese ion transmembrane transporter activity, cadmium ion transmembrane transporter activity"," response to stress, response to organic substance, metal ion transport, anatomical structure development, regulation of cellular process, cellular response to chemical stimulus",6773
"273","Sc_g00254: splicing factor 3B subunit 3-like","Sc_g00254"," nucleus"," nucleic acid binding, protein binding","mRNA splicing, via spliceosome",1774
"274","Sc_g00255: splicing factor 3B subunit 3-like","Sc_g00255"," nucleus"," nucleic acid binding, protein binding","mRNA splicing, via spliceosome",2748
"275","Sc_g00256: cold-shock DNA binding protein","Sc_g00256","","DNA binding, zinc ion binding"," regulation of transcription, DNA-templated",954
"276","Sc_g00257: kynurenine--oxoglutarate transaminase 1-like","Sc_g00257",""," transferase activity, pyridoxal phosphate binding","biosynthetic process",1326
"277","Sc_g00258: nuclear pore complex protein NUP85","Sc_g00258","nuclear envelope",""," mRNA export from nucleus, response to abscisic acid",2220
"278","Sc_g00259: uncharacterized protein LOC112294457 isoform X3","Sc_g00259","","zinc ion binding","",465
"279","Sc_g00260: uncharacterized protein LOC112294457 isoform X1","Sc_g00260","","metal ion binding","",792
"280","Sc_g00261: pyridoxal reductase, chloroplastic","Sc_g00261"," chloroplast"," pyridoxine:NADP 4-dehydrogenase activity, NADPH binding","pyridoxal 5'-phosphate salvage, pyridoxal biosynthetic process, oxidation-reduction process",540
"281","Sc_g00262: 1-acyl-sn-glycerol-3-phosphate acyltransferase 2","Sc_g00262","endoplasmic reticulum, integral component of membrane"," transferase activity, transferring acyl groups"," phospholipid biosynthetic process",1611
"282","Sc_g00263: abnormal spindle-like microcephaly-associated protein homolog","Sc_g00263","","protein binding"," spindle organization",4049
"283","Sc_g00264: mRNA-decapping enzyme-like protein","Sc_g00264",""," enzyme activator activity","deadenylation-dependent decapping of nuclear-transcribed mRNA, positive regulation of catalytic activity",1059
"284","Sc_g00265: kinetochore protein Spc25-like","Sc_g00265","condensed chromosome kinetochore, Ndc80 complex",""," chromosome segregation",483
"285","Sc_g00266: ---NA---","Sc_g00266","","","",105
"286","Sc_g00267: nodulation receptor kinase-like isoform X2","Sc_g00267"," membrane","protein kinase activity, ATP binding"," protein phosphorylation",1560
"287","Sc_g00268: peroxidase 27-like","Sc_g00268"," extracellular region","peroxidase activity, heme binding, metal ion binding"," response to oxidative stress, hydrogen peroxide catabolic process, oxidation-reduction process, cellular oxidant detoxification",959
"288","Sc_g00269: pumilio homolog 12","Sc_g00269","","RNA binding, metal ion binding","",4043
"289","Sc_g00270: hypothetical protein PHYPA_000294","Sc_g00270","","","",504
"290","Sc_g00271: protein SUPPRESSOR OF GENE SILENCING 3","Sc_g00271","","","gene silencing by RNA",3308
"291","Sc_g00272: DNA methyl transferase5","Sc_g00272"," nucleus","chromatin binding, methyltransferase activity"," maintenance of DNA methylation, DNA methylation on cytosine",3232
"292","Sc_g00273: ---NA---","Sc_g00273","","","",557
"293","Sc_g00274: Retrovirus-related Pol polyprotein from transposon TNT 1-94","Sc_g00274","retrotransposon nucleocapsid"," nucleic acid binding, zinc ion binding"," DNA integration",408
